ORDER_NUMBER,DATE,TIME,EMAIL,COUNTRY,FIRST_NAME,LAST_NAME,ADDRESS,CITY,ZIP,PHONE,FIRST_NAME_SHIPPING,LAST_NAME_SHIPPING,ID_CARD,STATUS,NUMBER_PACK,NUMBER_STANDARD,NUMBER_EXCLUSIVE,PRICE
23,2023-6-6,4:52:34,lucas.rodriguez@yahoo.fr,France,Lucas,Rodriguez,8 rue de la Liberté,Bordeaux,33000,0654321098,Aboubacar,Magassouba,4,FAILED_PROCESSING,,,,
24,2023-6-6,4:55:7,lucas.rodriguez@yahoo.fr,France,Lucas,Rodriguez,8 rue de la Liberté,Bordeaux,33000,0654321098,Ali,Zerouali,1,FAILED_PROCESSING,,,,
25,2023-6-6,4:58:6,lucas.rodriguez@yahoo.fr,France,Lucas,Rodriguez,8 rue de la Liberté,Bordeaux,33000,0654321098,Sabrina,Djebbar,3,FAILED_PROCESSING,,,,
26,2023-6-6,4:58:41,lucas.rodriguez@yahoo.fr,France,Lucas,Rodriguez,8 rue de la Liberté,Bordeaux,33000,0654321098,Linda,Ouchene,1,FAILED_PROCESSING,,,,
27,2023-6-6,5:0:1,lucas.rodriguez@yahoo.fr,France,Lucas,Rodriguez,8 rue de la Liberté,Bordeaux,33000,0654321098,Hakim,Zerouali,5,FAILED_PROCESSING,,,,
28,2023-6-6,5:3:24,lucas.rodriguez@yahoo.fr,France,Lucas,Rodriguez,8 rue de la Liberté,Bordeaux,33000,0654321098,Sabrina,Djebbar,3,FAILED_PROCESSING,,,,
29,2023-6-6,5:3:58,lucas.rodriguez@yahoo.fr,France,Lucas,Rodriguez,8 rue de la Liberté,Bordeaux,33000,0654321098,Hakim,Zerouali,4,FAILED_PROCESSING,,,,
30,2023-6-6,5:5:42,lucas.rodriguez@yahoo.fr,France,Lucas,Rodriguez,8 rue de la Liberté,Bordeaux,33000,0654321098,Hakim,Zerouali,2,FAILED_PROCESSING,,,,
31,2023-6-6,5:6:1,lucas.rodriguez@yahoo.fr,France,Lucas,Rodriguez,8 rue de la Liberté,Bordeaux,33000,0654321098,Ryad,Mebarki,6,FAILED_PROCESSING,2,0,0,36.24
32,2023-6-6,5:12:3,lucas.rodriguez@yahoo.fr,France,Lucas,Rodriguez,8 rue de la Liberté,Bordeaux,33000,0654321098,Ryad,Mebarki,3,FAILED_PROCESSING,,,,
33,2023-6-6,5:13:57,lucas.rodriguez@yahoo.fr,France,Lucas,Rodriguez,8 rue de la Liberté,Bordeaux,33000,0654321098,Areski,Djebbar,1,FAILED_PROCESSING,,,,
34,2023-6-6,5:16:52,lucas.rodriguez@yahoo.fr,France,Lucas,Rodriguez,8 rue de la Liberté,Bordeaux,33000,0654321098,Michael,Bedia,2,FAILED_PROCESSING,,,,
35,2023-6-6,5:19:10,lucas.rodriguez@yahoo.fr,France,Lucas,Rodriguez,8 rue de la Liberté,Bordeaux,33000,0654321098,Michael,Bedia,1,FAILED_PROCESSING,,,,
36,2023-6-6,5:19:59,lucas.rodriguez@yahoo.fr,France,Lucas,Rodriguez,8 rue de la Liberté,Bordeaux,33000,0654321098,Magou,Ebenezer,3,FAILED_PROCESSING,,,,
37,2023-6-6,5:20:31,lucas.rodriguez@yahoo.fr,France,Lucas,Rodriguez,8 rue de la Liberté,Bordeaux,33000,0654321098,Aboubacar,Magassouba,6,FAILED_PROCESSING,,,,
38,2023-6-6,5:21:2,lucas.rodriguez@yahoo.fr,France,Lucas,Rodriguez,8 rue de la Liberté,Bordeaux,33000,0654321098,Linda,Ouchene,6,FAILED_PROCESSING,,,,
39,2023-6-6,6:0:0,lucas.rodriguez@yahoo.fr,France,Lucas,Rodriguez,8 rue de la Liberté,Bordeaux,33000,0654321098,Linda,Ouchene,1,FAILED_PROCESSING,,,,
40,2023-6-6,6:0:31,lucas.rodriguez@yahoo.fr,France,Lucas,Rodriguez,8 rue de la Liberté,Bordeaux,33000,0654321098,Aboubacar,Magassouba,1,FAILED_PROCESSING,,,,
41,2023-6-6,6:0:52,lucas.rodriguez@yahoo.fr,France,Lucas,Rodriguez,8 rue de la Liberté,Bordeaux,33000,0654321098,Ryad,Mebarki,5,FAILED_PROCESSING,,,,
42,2023-6-6,6:1:24,lucas.rodriguez@yahoo.fr,France,Lucas,Rodriguez,8 rue de la Liberté,Bordeaux,33000,0654321098,Mendes,JB,5,FAILED_PROCESSING,,,,
43,2023-6-6,6:1:40,lucas.rodriguez@yahoo.fr,France,Lucas,Rodriguez,8 rue de la Liberté,Bordeaux,33000,0654321098,Magou,Ebenezer,5,FAILED_PROCESSING,,,,
44,2023-6-6,6:5:20,lucas.rodriguez@yahoo.fr,France,Lucas,Rodriguez,8 rue de la Liberté,Bordeaux,33000,0654321098,Royce,Lounge,4,FAILED_PROCESSING,,,,
45,2023-6-6,6:23:15,lucas.rodriguez@yahoo.fr,France,Lucas,Rodriguez,8 rue de la Liberté,Bordeaux,33000,0654321098,Aboubacar,Magassouba,3,FAILED_PROCESSING,,,,
46,2023-6-6,6:23:48,lucas.rodriguez@yahoo.fr,France,Lucas,Rodriguez,8 rue de la Liberté,Bordeaux,33000,0654321098,Royce,Lounge,2,FAILED_PROCESSING,,,,
47,2023-6-6,6:24:20,lucas.rodriguez@yahoo.fr,France,Lucas,Rodriguez,8 rue de la Liberté,Bordeaux,33000,0654321098,Royce,Lounge,6,COMPLETED,2,0,0,36.24
48,2023-6-6,6:44:32,manon.robin@hotmail.com,France,Manon,Robin,12 avenue Jean Jaurès,Toulon,83000,0678901234,Aboubacar,Magassouba,3,FAILED_PROCESSING,,,,
49,2023-6-6,6:44:44,manon.robin@hotmail.com,France,Manon,Robin,12 avenue Jean Jaurès,Toulon,83000,0678901234,Aboubacar,Magassouba,1,FAILED_PROCESSING,,,,
50,2023-6-6,6:44:56,manon.robin@hotmail.com,France,Manon,Robin,12 avenue Jean Jaurès,Toulon,83000,0678901234,Hakim,Zerouali,5,FAILED_PROCESSING,,,,
51,2023-6-6,6:45:27,manon.robin@hotmail.com,France,Manon,Robin,12 avenue Jean Jaurès,Toulon,83000,0678901234,Sabrina,Djebbar,6,FAILED_PROCESSING,,,,
52,2023-6-6,6:45:59,manon.robin@hotmail.com,France,Manon,Robin,12 avenue Jean Jaurès,Toulon,83000,0678901234,Ryad,Mebarki,1,FAILED_PROCESSING,,,,
53,2023-6-6,6:46:12,manon.robin@hotmail.com,France,Manon,Robin,12 avenue Jean Jaurès,Toulon,83000,0678901234,Ryad,Mebarki,3,FAILED_PROCESSING,,,,
54,2023-6-6,7:6:50,manon.robin@hotmail.com,France,Manon,Robin,12 avenue Jean Jaurès,Toulon,83000,0678901234,Ryad,Mebarki,2,FAILED_PROCESSING,,,,
55,2023-6-6,7:7:26,manon.robin@hotmail.com,France,Manon,Robin,12 avenue Jean Jaurès,Toulon,83000,0678901234,Ismael,Djebbar,3,FAILED_PROCESSING,,,,
56,2023-6-6,7:8:10,manon.robin@hotmail.com,France,Manon,Robin,12 avenue Jean Jaurès,Toulon,83000,0678901234,Hakim,Zerouali,5,COMPLETED,2,0,0,36.24
57,2023-6-6,7:31:5,théo.petit@gmail.com,France,Théo,Petit,17 rue des Roses,Rennes,35000,0698765432,Michael,Bedia,5,FAILED_PROCESSING,,,,
58,2023-6-6,7:31:17,théo.petit@gmail.com,France,Théo,Petit,17 rue des Roses,Rennes,35000,0698765432,Ali,Zerouali,2,FAILED_PROCESSING,,,,
59,2023-6-6,7:31:49,théo.petit@gmail.com,France,Théo,Petit,17 rue des Roses,Rennes,35000,0698765432,Sabrina,Djebbar,3,FAILED_PROCESSING,,,,
60,2023-6-6,7:32:21,théo.petit@gmail.com,France,Théo,Petit,17 rue des Roses,Rennes,35000,0698765432,Royce,Lounge,3,FAILED_PROCESSING,,,,
61,2023-6-6,7:34:15,théo.petit@gmail.com,France,Théo,Petit,17 rue des Roses,Rennes,35000,0698765432,Sabrina,Djebbar,2,FAILED_PROCESSING,,,,
62,2023-6-6,7:34:33,théo.petit@gmail.com,France,Théo,Petit,17 rue des Roses,Rennes,35000,0698765432,Ryad,Mebarki,5,FAILED_PROCESSING,,,,
63,2023-6-6,7:53:42,théo.petit@gmail.com,France,Théo,Petit,17 rue des Roses,Rennes,35000,0698765432,Areski,Djebbar,3,FAILED_PROCESSING,,,,
64,2023-6-6,7:58:29,théo.petit@gmail.com,France,Théo,Petit,17 rue des Roses,Rennes,35000,0698765432,Magou,Ebenezer,1,FAILED_PROCESSING,,,,
65,2023-6-6,8:1:54,théo.petit@gmail.com,France,Théo,Petit,17 rue des Roses,Rennes,35000,0698765432,Linda,Ouchene,6,FAILED_PROCESSING,,,,
66,2023-6-6,8:6:27,théo.petit@gmail.com,France,Théo,Petit,17 rue des Roses,Rennes,35000,0698765432,Areski,Djebbar,5,FAILED_PROCESSING,,,,
67,2023-6-6,8:6:44,théo.petit@gmail.com,France,Théo,Petit,17 rue des Roses,Rennes,35000,0698765432,Michael,Bedia,2,FAILED_PROCESSING,,,,
68,2023-6-6,8:9:10,théo.petit@gmail.com,France,Théo,Petit,17 rue des Roses,Rennes,35000,0698765432,Michael,Bedia,3,FAILED_PROCESSING,,,,
69,2023-6-6,8:15:58,théo.petit@gmail.com,France,Théo,Petit,17 rue des Roses,Rennes,35000,0698765432,Magou,Ebenezer,4,FAILED_PROCESSING,,,,
70,2023-6-6,8:16:16,théo.petit@gmail.com,France,Théo,Petit,17 rue des Roses,Rennes,35000,0698765432,Aboubacar,Magassouba,1,FAILED_PROCESSING,,,,
71,2023-6-6,8:18:26,théo.petit@gmail.com,France,Théo,Petit,17 rue des Roses,Rennes,35000,0698765432,Michael,Bedia,3,FAILED_PROCESSING,,,,
72,2023-6-6,8:20:53,théo.petit@gmail.com,France,Théo,Petit,17 rue des Roses,Rennes,35000,0698765432,Michael,Bedia,4,FAILED_PROCESSING,,,,
73,2023-6-6,8:21:25,théo.petit@gmail.com,France,Théo,Petit,17 rue des Roses,Rennes,35000,0698765432,Hakim,Zerouali,4,FAILED_PROCESSING,,,,
74,2023-6-6,8:21:56,théo.petit@gmail.com,France,Théo,Petit,17 rue des Roses,Rennes,35000,0698765432,Linda,Ouchene,1,FAILED_PROCESSING,,,,
75,2023-6-6,8:38:6,théo.petit@gmail.com,France,Théo,Petit,17 rue des Roses,Rennes,35000,0698765432,Ali,Zerouali,5,pending,,,,
76,2023-6-6,8:41:26,théo.petit@gmail.com,France,Théo,Petit,17 rue des Roses,Rennes,35000,0698765432,Sabrina,Djebbar,5,FAILED_PROCESSING,,,,
77,2023-6-6,8:41:37,théo.petit@gmail.com,France,Théo,Petit,17 rue des Roses,Rennes,35000,0698765432,Sabrina,Djebbar,1,pending,,,,
78,2023-6-6,8:45:7,théo.petit@gmail.com,France,Théo,Petit,17 rue des Roses,Rennes,35000,0698765432,Royce,Lounge,5,pending,,,,
79,2023-6-6,8:48:44,théo.petit@gmail.com,France,Théo,Petit,17 rue des Roses,Rennes,35000,0698765432,Magou,Ebenezer,6,pending,,,,
80,2023-6-6,8:50:7,théo.petit@gmail.com,France,Théo,Petit,17 rue des Roses,Rennes,35000,0698765432,Royce,Lounge,2,pending,,,,
81,2023-6-6,9:3:17,théo.petit@gmail.com,France,Théo,Petit,17 rue des Roses,Rennes,35000,0698765432,Mendes,JB,2,pending,,,,
82,2023-6-6,9:3:36,mathis.rousseau@yahoo.fr,France,Mathis,Rousseau,27 avenue de la République,Lyon,69003,0643210987,Royce,Lounge,1,FAILED_PROCESSING,,,,
83,2023-6-6,9:3:53,mathis.rousseau@yahoo.fr,France,Mathis,Rousseau,27 avenue de la République,Lyon,69003,0643210987,Ryad,Mebarki,6,pending,,,,
84,2023-6-6,9:4:30,julien.dubois@gmail.com,France,Julien,Dubois,4 rue de la Paix,Toulouse,31000,0610987654,Royce,Lounge,5,pending,,,,
85,2023-6-6,9:4:58,léa.bertrand@yahoo.fr,France,Léa,Bertrand,11 avenue des Champs-Élysées,Paris,75014,0687654321,Ryad,Mebarki,1,pending,,,,
86,2023-6-6,9:5:29,thomas.garcia@hotmail.com,France,Thomas,Garcia,25 rue du Commerce,Nantes,44000,0645678901,Michael,Bedia,2,pending,,,,
87,2023-6-6,9:7:50,emma.meyer@gmail.com,France,Emma,Meyer,6 place de la République,Lille,59000,0612345678,Mendes,JB,4,pending,,,,
88,2023-6-6,9:8:2,louis.fournier@yahoo.fr,France,Louis,Fournier,19 rue du Maréchal Foch,Strasbourg,67000,0654321098,Sabrina,Djebbar,1,pending,,,,
89,2023-6-6,9:8:5,chloé.rousseau@hotmail.com,France,Chloé,Rousseau,22 rue de la Liberté,Bordeaux,33000,0678901234,Aboubacar,Magassouba,4,pending,,,,
90,2023-6-6,9:8:8,mathis.rodriguez@gmail.com,France,Mathis,Rodriguez,14 avenue Jean Jaurès,Toulon,83000,0698765432,Linda,Ouchene,6,pending,,,,
91,2023-6-6,9:8:9,manon.robin@yahoo.fr,France,Manon,Robin,16 rue des Roses,Rennes,35000,0612345678,Ryad,Mebarki,5,pending,,,,
92,2023-6-6,9:8:9,théo.petit@hotmail.com,France,Théo,Petit,20 avenue de la République,Lyon,69004,0654321098,Magou,Ebenezer,5,pending,,,,
93,2023-6-6,9:8:9,lucas.blanc@gmail.com,France,Lucas,Blanc,12 rue Victor Hugo,Marseille,13004,0632109876,Ali,Zerouali,6,FAILED_PROCESSING,,,,
94,2023-6-6,9:8:10,lucas.blanc@gmail.com,France,Lucas,Blanc,12 rue Victor Hugo,Marseille,13004,0632109876,Aboubacar,Magassouba,4,pending,,,,
95,2023-6-6,9:12:8,antoine.dupont@hotmail.com,France,Antoine,Dupont,1 avenue des Champs-Élysées,Paris,75019,0687654321,Hakim,Zerouali,1,FAILED_PROCESSING,,,,
96,2023-6-6,9:12:40,antoine.dupont@hotmail.com,France,Antoine,Dupont,1 avenue des Champs-Élysées,Paris,75019,0687654321,Mendes,JB,6,COMPLETED,1,0,0,20.48
97,2023-6-6,9:22:43,enes.Eren@gmail.com,France,Enes,EREN,3 avenue Foch,Grenoble,38000,0612987654,Royce,Lounge,2,COMPLETED,1,0,0,20.48
98,2023-6-6,9:34:7,rabia.Hedi@gmail.com,France,Rabia,HEDI,16 rue du Marché,Troyes,10000,0654879123,Michael,Bedia,3,FAILED_PROCESSING,,,,
99,2023-6-6,9:34:39,rabia.Hedi@gmail.com,France,Rabia,HEDI,16 rue du Marché,Troyes,10000,0654879123,Ryad,Mebarki,6,FAILED_PROCESSING,,,,
100,2023-6-6,9:34:56,rabia.Hedi@gmail.com,France,Rabia,HEDI,16 rue du Marché,Troyes,10000,0654879123,Ali,Zerouali,4,FAILED_PROCESSING,2,0,0,36.24
101,2023-6-6,9:40:55,rabia.Hedi@gmail.com,France,Rabia,HEDI,16 rue du Marché,Troyes,10000,0654879123,Linda,Ouchene,6,FAILED_PROCESSING,,,,
102,2023-6-6,9:41:13,rabia.Hedi@gmail.com,France,Rabia,HEDI,16 rue du Marché,Troyes,10000,0654879123,Linda,Ouchene,1,FAILED_PROCESSING,,,,
103,2023-6-6,9:41:35,rabia.Hedi@gmail.com,France,Rabia,HEDI,16 rue du Marché,Troyes,10000,0654879123,Aboubacar,Magassouba,2,FAILED_PROCESSING,,,,
104,2023-6-6,9:41:48,rabia.Hedi@gmail.com,France,Rabia,HEDI,16 rue du Marché,Troyes,10000,0654879123,Areski,Djebbar,1,pending,,,,
105,2023-6-6,9:44:34,kezia.Chahine@gmail.com,France,Kezia,CHAHINE,28 avenue des Acacias,Orléans,45000,0678912345,Linda,Ouchene,6,FAILED_PROCESSING,1,0,0,20.48
106,2023-6-6,9:45:11,kezia.Chahine@gmail.com,France,Kezia,CHAHINE,28 avenue des Acacias,Orléans,45000,0678912345,Michael,Bedia,3,FAILED_PROCESSING,,,,
107,2023-6-6,9:45:31,kezia.Chahine@gmail.com,France,Kezia,CHAHINE,28 avenue des Acacias,Orléans,45000,0678912345,Hakim,Zerouali,2,FAILED_PROCESSING,,,,
108,2023-6-6,9:46:3,kezia.Chahine@gmail.com,France,Kezia,CHAHINE,28 avenue des Acacias,Orléans,45000,0678912345,Aboubacar,Magassouba,5,FAILED_PROCESSING,,,,
109,2023-6-6,9:50:3,kezia.Chahine@gmail.com,France,Kezia,CHAHINE,28 avenue des Acacias,Orléans,45000,0678912345,Ryad,Mebarki,4,pending,,,,
110,2023-6-6,9:52:3,kezia.Chahine@gmail.com,France,Kezia,CHAHINE,28 avenue des Acacias,Orléans,45000,0678912345,Mendes,JB,1,FAILED_PROCESSING,,,,
111,2023-6-6,9:56:22,lucas.rodriguez@hotmail.com,France,Lucas,Rodriguez,10 rue de la Liberté,Bordeaux,33000,0654321098,Ali,Zerouali,1,FAILED_PROCESSING,,,,
112,2023-6-6,9:56:43,lucas.rodriguez@hotmail.com,France,Lucas,Rodriguez,10 rue de la Liberté,Bordeaux,33000,0654321098,Royce,Lounge,4,FAILED_PROCESSING,,,,
113,2023-6-6,9:57:21,lucas.rodriguez@hotmail.com,France,Lucas,Rodriguez,10 rue de la Liberté,Bordeaux,33000,0654321098,Ismael,Djebbar,3,FAILED_PROCESSING,,,,
114,2023-6-6,9:57:59,lucas.rodriguez@hotmail.com,France,Lucas,Rodriguez,10 rue de la Liberté,Bordeaux,33000,0654321098,Ali,Zerouali,2,COMPLETED,2,0,0,36.24
115,2023-6-6,10:7:13,clara.blanc@gmail.com,France,Clara,Blanc,13 rue Victor Hugo,Marseille,13007,0654321098,Mendes,JB,4,FAILED_PROCESSING,,,,
116,2023-6-6,10:7:40,clara.blanc@gmail.com,France,Clara,Blanc,13 rue Victor Hugo,Marseille,13007,0654321098,Ali,Zerouali,3,FAILED_PROCESSING,,,,
117,2023-6-6,10:11:46,clara.blanc@gmail.com,France,Clara,Blanc,13 rue Victor Hugo,Marseille,13007,0654321098,Linda,Ouchene,6,FAILED_PROCESSING,,,,
118,2023-6-6,10:14:33,clara.blanc@gmail.com,France,Clara,Blanc,13 rue Victor Hugo,Marseille,13007,0654321098,Hakim,Zerouali,5,FAILED_PROCESSING,,,,
119,2023-6-6,10:17:54,clara.blanc@gmail.com,France,Clara,Blanc,13 rue Victor Hugo,Marseille,13007,0654321098,Mendes,JB,3,FAILED_PROCESSING,,,,
120,2023-6-6,10:18:11,clara.blanc@gmail.com,France,Clara,Blanc,13 rue Victor Hugo,Marseille,13007,0654321098,Hakim,Zerouali,4,FAILED_PROCESSING,,,,
121,2023-6-6,10:18:39,clara.blanc@gmail.com,France,Clara,Blanc,13 rue Victor Hugo,Marseille,13007,0654321098,Michael,Bedia,2,COMPLETED,2,0,0,36.24
122,2023-6-6,10:18:46,idrissa.Ala@gmail.com,France,Idrissa,ALA,16 place du Marché,Le Havre,76600,0645123987,Linda,Ouchene,6,FAILED_PROCESSING,,,,
123,2023-6-6,10:19:31,idrissa.Ala@gmail.com,France,Idrissa,ALA,16 place du Marché,Le Havre,76600,0645123987,Hakim,Zerouali,5,FAILED_PROCESSING,,,,
124,2023-6-6,10:21:5,idrissa.Ala@gmail.com,France,Idrissa,ALA,16 place du Marché,Le Havre,76600,0645123987,Aboubacar,Magassouba,6,COMPLETED,2,0,0,36.24
125,2023-6-6,10:30:8,kader.Kenzy@gmail.com,France,Kader,KENZY,10 boulevard Kennedy,Béziers,34500,0678123456,Hakim,Zerouali,3,COMPLETED,1,0,0,20.48
126,2023-6-6,10:40:45,daris.Dima@gmail.com,France,Daris,DIMA,8 avenue Mozart,Cannes,06400,0634123987,Mendes,JB,3,COMPLETED,2,0,0,36.24
127,2023-6-6,10:52:18,lounes.Habibe@gmail.com,France,Lounes,HABIBE,13 rue Marcel Pagnol,Mulhouse,68200,0623894512,Linda,Ouchene,1,FAILED_PROCESSING,,,,
128,2023-6-6,10:52:35,lounes.Habibe@gmail.com,France,Lounes,HABIBE,13 rue Marcel Pagnol,Mulhouse,68200,0623894512,Ismael,Djebbar,1,COMPLETED,1,0,0,20.48
129,2023-6-6,15:49:49,younes.Al-Hashimi@gmail.com,France,Younes,Al-Hashimi,15 Rue de la République,Lyon,69001,0687123456,Ryad,Mebarki,4,FAILED_PROCESSING,,,,
130,2023-6-6,15:50:8,younes.Al-Hashimi@gmail.com,France,Younes,Al-Hashimi,15 Rue de la République,Lyon,69001,0687123456,Sabrina,Djebbar,3,COMPLETED,1,0,0,20.48
131,2023-6-6,15:50:44,danial.Mathlouthi@gmail.com,France,Danial,Mathlouthi,27 Rue du Faubourg Saint-Antoine,Marseille,13001,0676543210,Mendes,JB,3,COMPLETED,2,0,0,36.24
132,2023-6-6,16:7:52,noam.Salim@gmail.com,France,Noam,Salim,32 Rue de la Liberté,Lille,59000,0678901234,Ismael,Djebbar,2,FAILED_PROCESSING,,,,
133,2023-6-6,16:11:9,noam.Salim@gmail.com,France,Noam,Salim,32 Rue de la Liberté,Lille,59000,0678901234,Mendes,JB,6,COMPLETED,2,0,0,36.24
134,2023-6-6,16:27:12,rayan.Zaïdi@gmail.com,France,Rayan,Zaïdi,45 Avenue du Général de Gaulle,Bordeaux,33000,0687654321,Ryad,Mebarki,1,pending,,,,
135,2023-6-6,16:27:14,sami.Abdelkader@gmail.com,France,Sami,Abdelkader,6 Place de la République,Strasbourg,67000,0612345678,Mendes,JB,2,COMPLETED,1,0,0,20.48
136,2023-6-6,16:27:28,sami.Abdelkader@gmail.com,France,Sami,Abdelkader,6 Place de la République,Strasbourg,67000,0612345678,Ismael,Djebbar,4,FAILED_PROCESSING,,,,
137,2023-6-6,16:27:46,sami.Abdelkader@gmail.com,France,Sami,Abdelkader,6 Place de la République,Strasbourg,67000,0612345678,Mendes,JB,2,FAILED_PROCESSING,1,0,0,20.48
138,2023-6-6,16:33:54,guadalupe.Amine@gmail.com,France,Guadalupe,Amine,14 Rue du Commerce,Rennes,35000,0667890123,Areski,Djebbar,1,pending,,,,
139,2023-6-6,16:37:14,guadalupe.Amine@gmail.com,France,Guadalupe,Amine,14 Rue du Commerce,Rennes,35000,0667890123,Ryad,Mebarki,4,FAILED_PROCESSING,,,,
140,2023-6-6,16:37:32,guadalupe.Amine@gmail.com,France,Guadalupe,Amine,14 Rue du Commerce,Rennes,35000,0667890123,Ryad,Mebarki,3,COMPLETED,2,0,0,36.24
141,2023-6-6,17:8:29,kinsey.Abdallah@gmail.com,France,Kinsey,Abdallah,18 Rue des Lilas,Limoges,87000,0678901234,Mendes,JB,6,COMPLETED,2,0,0,36.24
142,2023-6-6,17:8:30,amani.Touati@gmail.com,France,Amani,Touati,7 Rue des Ormes,Orléans,45000,0609876543,Magou,Ebenezer,6,COMPLETED,2,0,0,20.48
143,2023-6-6,17:28:36,amar.Chérif@gmail.com,France,Amar,Chérif,25 Rue des Acacias,Angers,49000,0676543210,Michael,Bedia,1,COMPLETED,1,0,0,20.48
144,2023-6-6,17:41:15,issa.Ziani@gmail.com,France,Issa,Ziani,36 Rue du Docteur Roux,Caen,14000,0612345678,Aboubacar,Magassouba,3,FAILED_PROCESSING,1,0,0,20.48
145,2023-6-6,17:46:28,amara.Ben Salah@gmail.com,France,Amara,Ben Salah,13 Rue de la Paix,Mulhouse,68100,0665432109,Royce,Lounge,4,FAILED_PROCESSING,,,,
